Potential(V)	Current(uA)
0.19	-0.3816
0.191	-0.3488
0.192	-0.328
0.193	-0.3131
0.194	-0.3024
0.195	-0.2822
0.196	-0.2831
0.197	-0.2711
0.198	-0.2592
0.199	-0.2497
0.2	-0.2531
0.201	-0.2351
0.202	-0.224
0.203	-0.2158
0.204	-0.2124
0.205	-0.2007
0.206	-0.1916
0.207	-0.2025
0.208	-0.1854
0.209	-0.1857
0.21	-0.1753
0.211	-0.1667
0.212	-0.1583
0.213	-0.1538
0.214	-0.1508
0.215	-0.1382
0.216	-0.1343
0.217	-0.1235
0.218	-0.1234
0.219	-0.1263
0.22	-0.1231
0.221	-0.1147
0.222	-0.1007
0.223	-0.1011
0.224	-0.09596
0.225	-0.1014
0.226	-0.09587
0.227	-0.08647
0.228	-0.09143
0.229	-0.07536
0.23	-0.07055
0.231	-0.06778
0.232	-0.06168
0.233	-0.05724
0.234	-0.06454
0.235	-0.06473
0.236	-0.06292
0.237	-0.05605
0.238	-0.04256
0.239	-0.04528
0.24	-0.04585
0.241	-0.03259
0.242	-0.04065
0.243	-0.02868
0.244	-0.02801
0.245	-0.02868
0.246	-0.01998
0.247	-0.01519
0.248	-0.008035
0.249	-0.01528
0.249	-0.02058
0.251	-0.006938
0.252	-0.01376
0.252	0.01009
0.253	-0.01171
0.254	0.00217
0.256	-0.002408
0.256	0.009942
0.257	0.008845
0.258	0.01364
0.259	0.01838
0.26	0.01738
0.261	0.02043
0.262	0.01576
0.263	0.01328
0.264	0.02167
0.265	0.03159
0.266	0.03426
0.267	0.03345
0.268	0.03413
0.269	0.03417
0.27	0.03464
0.271	0.03722
0.272	0.03259
0.273	0.0387
0.274	0.04003
0.275	0.04895
0.276	0.04218
0.277	0.04866
0.278	0.0582
0.279	0.05057
0.28	0.05515
0.281	0.05735
0.282	0.06001
0.283	0.06368
0.284	0.05996
0.285	0.0571
0.286	0.05696
0.287	0.06506
0.288	0.05763
0.289	0.0634
0.29	0.07312
0.291	0.06464
0.292	0.06802
0.293	0.0736
0.294	0.07556
0.295	0.07689
0.296	0.07365
0.297	0.07384
0.298	0.07565
0.299	0.08271
0.3	0.08509
0.301	0.08094
0.302	0.087
0.303	0.08547
0.304	0.09544
0.305	0.09306
0.306	0.09525
0.307	0.09472
0.308	0.09306
0.309	0.09453
0.31	0.09465
0.311	0.09663
0.312	0.09439
0.313	0.09749
0.314	0.1071
0.315	0.09205
0.316	0.108
0.317	0.1011
0.318	0.0962
0.319	0.1037
0.32	0.107
0.321	0.119
0.322	0.1102
0.323	0.1152
0.324	0.1016
0.325	0.11
0.326	0.1179
0.327	0.1142
0.328	0.1211
0.329	0.1159
0.33	0.12
0.331	0.124
