Potential(V)	Current(uA)
0.19	0.03088
0.191	0.04532
0.192	0.08147
0.193	0.08371
0.194	0.09248
0.195	0.09816
0.196	0.1037
0.197	0.1101
0.198	0.1187
0.199	0.1237
0.2	0.1268
0.201	0.1432
0.202	0.1378
0.203	0.1433
0.204	0.141
0.205	0.1511
0.206	0.1611
0.207	0.1754
0.208	0.1798
0.209	0.1834
0.21	0.1771
0.211	0.1836
0.212	0.204
0.213	0.1907
0.214	0.2025
0.215	0.2073
0.216	0.2107
0.217	0.2108
0.218	0.2306
0.219	0.2303
0.22	0.2331
0.221	0.2371
0.222	0.2348
0.223	0.2516
0.224	0.2565
0.225	0.253
0.226	0.273
0.227	0.2693
0.228	0.28
0.229	0.2719
0.23	0.2836
0.231	0.2821
0.232	0.2978
0.233	0.2933
0.234	0.3
0.235	0.308
0.236	0.3066
0.237	0.3078
0.238	0.3193
0.239	0.3333
0.24	0.332
0.241	0.3357
0.242	0.3364
0.243	0.3447
0.244	0.3523
0.245	0.348
0.246	0.361
0.247	0.3632
0.248	0.3712
0.249	0.3713
0.249	0.3778
0.251	0.3872
0.252	0.392
0.252	0.397
0.253	0.3917
0.254	0.4033
0.256	0.4061
0.256	0.4099
0.257	0.4266
0.258	0.4268
0.259	0.4302
0.26	0.4167
0.261	0.4592
0.262	0.4437
0.263	0.4545
0.264	0.4477
0.265	0.4596
0.266	0.4615
0.267	0.4674
0.268	0.4754
0.269	0.471
0.27	0.4832
0.271	0.4835
0.272	0.4881
0.273	0.4962
0.274	0.5006
0.275	0.508
0.276	0.507
0.277	0.5229
0.278	0.5235
0.279	0.5231
0.28	0.5411
0.281	0.53
0.282	0.5381
0.283	0.5427
0.284	0.5482
0.285	0.5556
0.286	0.5607
0.287	0.559
0.288	0.5651
0.289	0.5673
0.29	0.5798
0.291	0.5834
0.292	0.584
0.293	0.5822
0.294	0.5821
0.295	0.5902
0.296	0.6087
0.297	0.6063
0.298	0.6155
0.299	0.6204
0.3	0.625
0.301	0.6326
0.302	0.6313
0.303	0.6247
0.304	0.6353
0.305	0.6519
0.306	0.6453
0.307	0.6486
0.308	0.66
0.309	0.6602
0.31	0.6617
0.311	0.6666
0.312	0.6659
0.313	0.6763
0.314	0.6891
0.315	0.6797
0.316	0.6877
0.317	0.6989
0.318	0.696
0.319	0.6997
0.32	0.6987
0.321	0.7055
0.322	0.7121
0.323	0.7114
0.324	0.7173
0.325	0.7227
0.326	0.723
0.327	0.7361
0.328	0.737
0.329	0.74
0.33	0.7428
0.331	0.744
0.332	0.7516
0.333	0.7434
0.334	0.7667
0.335	0.7549
0.336	0.768
0.337	0.7774
0.338	0.775
0.339	0.7764
0.34	0.778
0.341	0.7893
0.342	0.7883
0.343	0.7929
0.344	0.7954
0.345	0.804
0.346	0.8007
0.347	0.7956
0.348	0.8089
0.349	0.8238
0.35	0.8098
0.351	0.8154
0.352	0.8172
0.353	0.8213
0.354	0.8222
0.355	0.8413
0.356	0.8392
0.357	0.853
0.358	0.8577
0.359	0.8513
0.36	0.8592
0.361	0.8631
0.362	0.8612
0.363	0.8674
0.364	0.8727
0.365	0.8683
0.366	0.8854
0.367	0.8837
0.368	0.8888
0.369	0.8944
0.369	0.8921
0.371	0.8897
0.372	0.8915
0.373	0.8888
0.373	0.9005
0.374	0.9103
0.376	0.9081
0.376	0.9315
0.377	0.9299
0.378	0.9305
0.379	0.9291
0.38	0.9313
0.381	0.9335
0.382	0.9275
0.383	0.9283
0.384	0.9403
0.385	0.9412
0.386	0.9401
0.387	0.9407
0.388	0.9505
0.389	0.9564
0.39	0.9531
0.391	0.9599
0.392	0.9651
0.393	0.9649
0.394	0.9689
0.395	0.9835
0.396	0.9741
0.397	0.9787
0.398	0.9828
0.399	0.9949
0.4	0.9961
0.401	0.9921
0.402	0.9819
0.403	0.9977
0.404	1.005
0.405	1.005
0.406	1.009
0.407	1.011
0.408	1.016
0.409	1.014
0.41	1.014
0.411	1.015
0.412	1.021
0.413	1.027
0.414	1.03
0.415	1.037
0.416	1.038
0.417	1.042
0.418	1.046
0.419	1.047
0.42	1.055
0.421	1.05
0.422	1.055
0.423	1.073
0.424	1.076
0.425	1.084
0.426	1.082
0.427	1.083
0.428	1.08
0.429	1.078
0.43	1.078
0.431	1.086
0.432	1.09
0.433	1.088
0.434	1.091
0.435	1.096
0.436	1.104
0.437	1.101
0.438	1.114
0.439	1.118
0.44	1.127
0.441	1.12
0.442	1.114
0.443	1.123
0.444	1.128
0.445	1.131
0.446	1.144
0.447	1.147
0.448	1.151
0.449	1.149
0.45	1.157
0.451	1.161
0.452	1.167
0.453	1.155
0.454	1.162
0.455	1.159
0.456	1.158
0.457	1.159
