Potential(V)	Current(uA)
0.19	-0.2596
0.191	-0.2198
0.192	-0.2104
0.193	-0.191
0.194	-0.1796
0.195	-0.1711
0.196	-0.1549
0.197	-0.1417
0.198	-0.1436
0.199	-0.1216
0.2	-0.09902
0.201	-0.1072
0.202	-0.1015
0.203	-0.08371
0.204	-0.0715
0.205	-0.06726
0.206	-0.05481
0.207	-0.05324
0.208	-0.04747
0.209	-0.0457
0.21	-0.03359
0.211	-0.03383
0.212	-0.02325
0.213	-0.01919
0.214	-0.01576
0.215	0.002408
0.216	-0.003457
0.217	0.00298
0.218	0.01748
0.219	0.01566
0.22	0.02019
0.221	0.02406
0.222	0.02959
0.223	0.04647
0.224	0.04551
0.225	0.05629
0.226	0.06669
0.227	0.07627
0.228	0.06554
0.229	0.08271
0.23	0.09339
0.231	0.09372
0.232	0.08233
0.233	0.09201
0.234	0.1068
0.235	0.1095
0.236	0.1085
0.237	0.1256
0.238	0.1194
0.239	0.1277
0.24	0.126
0.241	0.1299
0.242	0.135
0.243	0.1536
0.244	0.1492
0.245	0.1565
0.246	0.1547
0.247	0.1607
0.248	0.1679
0.249	0.1621
0.249	0.1718
0.251	0.1703
0.252	0.2151
0.252	0.2369
0.253	0.2323
0.254	0.245
0.256	0.2406
0.256	0.2426
0.257	0.2479
0.258	0.2434
0.259	0.2587
0.26	0.2548
0.261	0.2527
0.262	0.2534
0.263	0.2529
0.264	0.2647
0.265	0.2695
0.266	0.2614
0.267	0.267
0.268	0.2692
0.269	0.2699
0.27	0.2699
0.271	0.2707
0.272	0.2725
0.273	0.2743
0.274	0.2752
0.275	0.2765
0.276	0.2775
0.277	0.2838
0.278	0.2766
0.279	0.2872
0.28	0.2919
0.281	0.296
0.282	0.2886
0.283	0.296
0.284	0.2978
0.285	0.2993
0.286	0.2996
0.287	0.2976
0.288	0.2958
0.289	0.3004
0.29	0.3071
0.291	0.3021
0.292	0.2999
0.293	0.3038
0.294	0.3049
0.295	0.3021
0.296	0.3059
0.297	0.3182
0.298	0.3065
0.299	0.3133
0.3	0.3068
0.301	0.3107
0.302	0.3165
0.303	0.3081
0.304	0.313
0.305	0.328
0.306	0.3192
0.307	0.3114
0.308	0.3249
0.309	0.3172
0.31	0.3212
0.311	0.3329
0.312	0.3277
0.313	0.3226
0.314	0.3418
0.315	0.3275
0.316	0.3399
0.317	0.3336
0.318	0.3356
0.319	0.3334
0.32	0.3341
0.321	0.3413
0.322	0.344
0.323	0.345
0.324	0.3499
0.325	0.3404
0.326	0.3442
0.327	0.3474
0.328	0.3468
0.329	0.3459
0.33	0.3463
0.331	0.346
0.332	0.3459
0.333	0.3461
0.334	0.3535
0.335	0.3513
0.336	0.3569
0.337	0.3648
0.338	0.357
0.339	0.3498
0.34	0.3654
0.341	0.3636
0.342	0.3652
0.343	0.3656
0.344	0.3665
0.345	0.3672
0.346	0.368
0.347	0.3726
0.348	0.3732
0.349	0.377
0.35	0.3826
0.351	0.3795
0.352	0.3812
0.353	0.379
0.354	0.3742
0.355	0.3788
0.356	0.3743
0.357	0.3772
0.358	0.3822
0.359	0.3923
0.36	0.3888
0.361	0.3834
0.362	0.3813
0.363	0.3904
0.364	0.4019
0.365	0.392
0.366	0.3946
0.367	0.3949
0.368	0.3976
0.369	0.4012
0.369	0.3999
0.371	0.4055
0.372	0.4012
0.373	0.4046
0.373	0.4069
0.374	0.4047
0.376	0.4095
0.376	0.4128
0.377	0.4134
0.378	0.4208
0.379	0.4221
0.38	0.4148
0.381	0.4016
0.382	0.4045
0.383	0.4143
0.384	0.4094
0.385	0.4165
0.386	0.4171
0.387	0.431
0.388	0.4312
0.389	0.4355
0.39	0.4323
0.391	0.4279
0.392	0.4305
0.393	0.427
0.394	0.432
0.395	0.4392
0.396	0.4355
0.397	0.4401
0.398	0.4349
0.399	0.4417
0.4	0.4346
0.401	0.444
0.402	0.4337
0.403	0.4476
0.404	0.4521
0.405	0.4483
0.406	0.4484
0.407	0.4479
0.408	0.447
0.409	0.4477
0.41	0.4452
0.411	0.4552
0.412	0.46
0.413	0.4603
0.414	0.4621
0.415	0.4634
0.416	0.4648
0.417	0.4663
0.418	0.4679
0.419	0.469
0.42	0.4716
0.421	0.4777
0.422	0.4698
0.423	0.4805
0.424	0.4768
0.425	0.4868
0.426	0.4868
0.427	0.4785
0.428	0.4814
0.429	0.4923
0.43	0.4872
0.431	0.4925
0.432	0.5005
0.433	0.4987
0.434	0.5072
0.435	0.4949
0.436	0.5023
0.437	0.4973
0.438	0.505
0.439	0.504
0.44	0.4977
0.441	0.5053
0.442	0.5161
0.443	0.5122
0.444	0.5057
0.445	0.5073
0.446	0.5124
0.447	0.5144
0.448	0.5155
0.449	0.5178
0.45	0.5223
0.451	0.5233
0.452	0.5243
0.453	0.5183
0.454	0.5212
0.455	0.5365
0.456	0.5307
0.457	0.524
0.458	0.5314
0.459	0.5336
0.46	0.53
0.461	0.5308
0.462	0.5361
0.463	0.5402
0.464	0.5367
0.465	0.5383
0.466	0.5426
0.467	0.548
0.468	0.5475
0.469	0.544
0.47	0.5459
0.471	0.5502
0.472	0.5516
0.473	0.5533
0.474	0.5554
0.475	0.556
0.476	0.5606
0.477	0.563
0.478	0.5655
0.479	0.5657
0.48	0.567
0.481	0.5674
0.482	0.5776
0.483	0.5814
0.484	0.5805
0.485	0.5859
0.486	0.59
0.487	0.5875
0.488	0.5965
0.489	0.5932
0.49	0.6018
0.491	0.599
0.492	0.6067
0.493	0.5998
0.493	0.6027
0.494	0.6089
0.496	0.6043
0.496	0.6029
0.497	0.6128
0.498	0.6161
0.499	0.6176
0.5	0.6171
0.501	0.6205
0.502	0.6244
0.503	0.6228
0.504	0.6283
0.505	0.6319
0.506	0.634
0.507	0.6282
0.508	0.6335
0.509	0.6356
0.51	0.6362
0.511	0.6265
0.512	0.6326
0.513	0.6394
0.514	0.638
0.515	0.6422
0.516	0.6301
0.517	0.6378
0.518	0.6426
0.519	0.6476
0.52	0.6451
0.521	0.6431
0.522	0.6586
0.523	0.6476
0.524	0.6567
0.525	0.6548
0.526	0.6527
0.527	0.6605
0.528	0.6717
0.529	0.6647
0.53	0.6632
0.531	0.6686
0.532	0.6735
0.533	0.6741
0.534	0.6735
0.535	0.6748
0.536	0.6731
0.537	0.6767
0.538	0.6758
0.539	0.6817
0.54	0.6827
0.541	0.6888
0.542	0.6914
0.543	0.6893
0.544	0.6943
0.545	0.695
0.546	0.701
0.547	0.7079
0.548	0.6962
0.549	0.6994
0.55	0.704
0.551	0.708
0.552	0.7055
0.553	0.7184
0.554	0.708
0.555	0.7197
0.556	0.7227
0.557	0.7154
0.558	0.7181
0.559	0.7223
0.56	0.7286
0.561	0.7292
0.562	0.7346
0.563	0.7447
0.564	0.753
0.565	0.7479
0.566	0.7554
0.567	0.7584
0.568	0.7669
0.569	0.7598
0.57	0.7685
0.571	0.7693
0.572	0.7722
0.573	0.773
0.574	0.778
0.575	0.7732
0.576	0.7837
0.577	0.7863
0.578	0.7939
0.579	0.7886
0.58	0.7919
0.581	0.8015
0.582	0.8017
0.583	0.8039
0.584	0.8055
0.585	0.8137
0.586	0.8088
0.587	0.8133
0.588	0.8221
0.589	0.8187
0.59	0.8222
0.591	0.8235
0.592	0.8355
0.593	0.8412
0.594	0.8407
0.595	0.8413
0.596	0.8436
0.597	0.8509
0.598	0.8493
0.599	0.8625
0.6	0.8579
0.601	0.8666
0.602	0.8616
0.603	0.8711
0.604	0.8629
0.605	0.8733
0.606	0.8739
0.607	0.8787
0.608	0.8838
0.609	0.8818
0.61	0.889
