Potential(V)	Current(uA)
0.19	-1.483
0.191	-1.448
0.192	-1.41
0.193	-1.362
0.194	-1.329
0.195	-1.309
0.196	-1.282
0.197	-1.254
0.198	-1.214
0.199	-1.198
0.2	-1.17
0.201	-1.152
0.202	-1.122
0.203	-1.097
0.204	-1.074
0.205	-1.062
0.206	-1.04
0.207	-1.018
0.208	-0.9966
0.209	-0.9753
0.21	-0.9599
0.211	-0.9377
0.212	-0.9098
0.213	-0.9059
0.214	-0.8819
0.215	-0.8596
0.216	-0.8452
0.217	-0.8314
0.218	-0.8131
0.219	-0.8007
0.22	-0.7885
0.221	-0.7698
0.222	-0.754
0.223	-0.7201
0.224	-0.7171
0.225	-0.7075
0.226	-0.6914
0.227	-0.6782
0.228	-0.676
0.229	-0.6537
0.23	-0.6438
0.231	-0.6308
0.232	-0.6158
0.233	-0.5948
0.234	-0.5861
0.235	-0.5798
0.236	-0.5701
0.237	-0.5614
0.238	-0.5528
0.239	-0.5329
0.24	-0.5228
0.241	-0.5134
0.242	-0.4998
0.243	-0.4904
0.244	-0.4904
0.245	-0.4778
0.246	-0.4563
0.247	-0.4486
0.248	-0.4352
0.249	-0.4415
0.249	-0.4298
0.251	-0.4176
0.252	-0.4115
0.252	-0.4135
0.253	-0.394
0.254	-0.3873
0.256	-0.3782
0.256	-0.3742
0.257	-0.3604
0.258	-0.3515
0.259	-0.3525
0.26	-0.3371
0.261	-0.3397
0.262	-0.3328
0.263	-0.3213
0.264	-0.3178
0.265	-0.3086
0.266	-0.2967
0.267	-0.2985
0.268	-0.2892
0.269	-0.2773
0.27	-0.2721
0.271	-0.2605
0.272	-0.2594
0.273	-0.2486
0.274	-0.2457
0.275	-0.2345
0.276	-0.2294
0.277	-0.2315
0.278	-0.2193
0.279	-0.2192
0.28	-0.2154
0.281	-0.2094
0.282	-0.1982
0.283	-0.1893
0.284	-0.1977
0.285	-0.1801
0.286	-0.1794
0.287	-0.1776
0.288	-0.173
0.289	-0.1673
0.29	-0.1678
0.291	-0.1596
0.292	-0.1472
0.293	-0.1411
0.294	-0.1457
